,Date,Type,Country,Area,Activity,Sex,Age,Injury,Fatal,Species
1064,2009-12-01,Invalid,SOUTH AFRICA,KwaZulu-Natal,Surfing,M,0,"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda",Unidentified,No shark involvement
1065,2009-12-01,Unprovoked,NEW ZEALAND,South Island,Swimming to shore from capsized kayak,M,24,FATAL,Y,"White shark, 2.8 to 3 m "
1066,2009-12-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,39,Laceration to big toe,N,Unidentified
1067,2009-12-01,Boating,AUSTRALIA,New South Wales,Rowing,Unidentified,0,No injury to occupants; shark bit steering oar,N,White shark
1068,2009-12-01,Provoked,USA,New Jersey,Diving,M,58,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,"Sandtiger shark, 8'"
1069,2009-11-01,Invalid,USA,California,Surfing,M,49,Puncture wounds to right foot,Unidentified,Shark involvement not confirmed
1070,2009-11-01,Unprovoked,USA,Florida,Wading,M,10,Left foot bitten,N,6' shark
1071,2009-11-01,Unprovoked,USA,California,Fishing,M,31,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,Thresher shark
1072,2009-11-01,Unprovoked,USA,Florida,Surfing,M,22,Foot bitten,N,Unidentified
1073,2009-11-01,Unprovoked,USA,Florida,Surfing,F,27,Foot bitten,N,Unidentified
1074,2009-11-01,Unprovoked,USA,Florida,Surfing,M,18,Foot bitten,N,4' shark
1075,2009-11-01,Unprovoked,AUSTRALIA,South Australia,Kayaking,M,25,Ankle bitten,N,2 m shark
1076,2009-11-01,Unprovoked,USA,California,Surfing,M,21,"No injury, board broken in half",N,Unidentified
1077,2009-10-01,Boating,AUSTRALIA,Victoria,Kayaking,M,27,"No injury, shark bit kayak",N,"White shark, 4m"
1078,2009-10-01,Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,M,0,Left ankle & foot bitten,N,Zambesi shark
1079,2009-10-01,Unprovoked,AUSTRALIA,New South Wales,Paddle-boarding,F,17,"No injury, shark bit rear of paddleboard",N,Unidentified
1080,2009-10-01,Unprovoked,USA,California,Surfing,M,0,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N,Unidentified
1081,2009-10-01,Unprovoked,USA,Hawaii,Surfing,M,54,Bitten on upper right thigh & right ankle,N,6' to 8' shark
1082,2009-10-01,Unprovoked,PANAMA,Bocas,Wading,F,10,Arm & torso bitten,N,Unidentified
1083,2009-10-01,Provoked,SCOTLAND,Fife,Diving,M,23,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N,Angel shark
1084,2009-10-01,Unprovoked,AUSTRALIA,Western Australia,Diving,M,23,Severe lacerations to lower right leg,N,"Bull shark, 10'"
1085,2009-10-01,Unprovoked,USA,California,Surfing,M,0,Laceration to shin of left leg,N,Unidentified
1086,2009-10-01,Provoked,UNITED KINGDOM,Devon,Fishing,M,39,Injury to forearm from shark's spine PROVOKED INCIDENT ,N,Spurdog
1087,2009-09-01,Unprovoked,USA,Florida,Swimming,M,0,Laceration to right foot,N,"Bull shark, 8'"
1088,2009-09-01,Unprovoked,VIETNAM,Unidentified,Unidentified,M,0,Lower right leg bitten,N,Unidentified
1089,2009-09-01,Provoked,SOMALIA,Unidentified,Fishing,M,0,Arm bitten PROVOKED INCIDENT ,N,Unidentified
1090,2009-09-01,Provoked,BRAZIL,Pernambuco,Unidentified,M,34,Cause of death was drowning; his remains were scavenged by sharks,Y,Unidentified
1091,2009-09-01,Invalid,USA,North Carolina,Swimming,M,60,FATAL,Y,Shark involvement prior to death not confirmed
1092,2009-09-01,Unprovoked,BRAZIL,Pernambuco,"Swimming, attempting to rescue a girl  believed to be drowning",M,15,FATAL,Y,Unidentified
1093,2009-09-01,Invalid,NEVIS,Unidentified,Swimming,M,0,Death was due to drowning. Two days later his remains were recovered from a 12' tiger shark,Unidentified,Invalid
1094,2009-09-01,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,Fishing,M,0,Injuries to face & neck PROVOKED INCIDENT,N,Unidentified
1095,2009-08-01,Unprovoked,USA,California,Surfing,M,0,No injury,N,4' shark
1096,2009-08-01,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,25,FATAL,Y,White shark
1097,2009-08-01,Unprovoked,USA,California,Swimming,F,22,Puncture wounds to left foot & calf,N,"White shark, 5' to 6' juvenile "
1098,2009-08-01,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,M,0,"No injury, shark bit bodyboard",N,"White shark, 2m"
1099,2009-08-01,Unprovoked,USA,Florida,Swimming,M,26,Puncture marks on left foot,N,Unidentified
1100,2009-08-01,Unprovoked,USA,Hawaii,Surfing,M,0,"No injury, surfboard bitten",N,"Tiger shark, 12"
1101,2009-08-01,Unprovoked,USA,Louisiana,Wade Fishing,M,56,Right ankle & foot bitten,N,Bull shark?
1102,2009-07-01,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,14,Lacerations to calf,N,Bull shark
1103,2009-07-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,14,Left forearm grazed & puncture marks in wetsuit,N,Unidentified
1104,2009-07-01,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,F,41,Foot bitten,N,Unidentified
1105,2009-07-01,Unprovoked,KENYA,Mombasa,Washing his feet,M,0,FATAL,Y,Unidentified
1106,2009-07-01,Unprovoked,USA,Texas,Wading,F,14,Lacerations to anterior left lower leg,N,Unidentified
1107,2009-07-01,Invalid,SPAIN,Catalunya,Swimming,F,11,Laceration to left foot,Unidentified,Shark involvement questionable
1108,2009-07-01,Unprovoked,USA,North Carolina,Swimming,F,26,Laceration to left foot,N,Unidentified
1109,2009-07-01,Unprovoked,USA,Florida,Swimming,F,19,Laceration to lower right leg,N,Unidentified
1110,2009-07-01,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,M,57,Severe bite to right leg,N,Unidentified
1111,2009-07-01,Provoked,BAHAMAS,Unidentified,Spearfishing,M,0,Leg bitten by shark that had been shot in the head by another diver PROVOKED INCIDENT,N,"Caribbean reef shark, 6'"
1112,2009-07-01,Unprovoked,USA,California,Paddle-surfing,M,0,"No injury, shark collided with surfer & board",N,5' shark
1113,2009-07-01,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,37,Leg bitten,N,Unidentified
1114,2009-07-01,Unprovoked,USA,Florida,Boogie Boarding,F,12,Right ankle bitten,N,Unidentified
1115,2009-07-01,Provoked,USA,Florida,Swimming,F,43,Thigh injured by hooked shark PROVOKED INCIDENT,N,"Nurse shark, 6'"
1116,2009-06-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,52,2-inch laceration to upper left arm,N,"Thought to involve a Bronze whale shark, 2m"
1117,2009-06-01,Invalid,USA,California,Surfing,M,26,Puncture wounds to foot,Unidentified,Shark involvement not confirmed
1118,2009-06-01,Invalid,USA,Florida,Crawling,M,14,2-inch laceration to upper left arm,Unidentified,"Shark involvement probable, but not confirmed"
1119,2009-06-01,Provoked,VIETNAM,Unidentified,Fishing for sharks,M,0,Hand bitten by hooked shark PROVOKED INCIDENT,N,White shark
1120,2009-06-01,Unprovoked,EGYPT,St. Johns Reef,Scuba diving,M,0,Lacerations to left hand,N,Oceanic whitetip shark
1121,2009-06-01,Unprovoked,EGYPT,St. Johns Reef,Scuba diving,M,0,3 cm laceration to shoulder,N,Oceanic whitetip shark
1122,2009-06-01,Unprovoked,EGYPT,St. Johns Reef,Snorkeling,F,50,FATAL,Y,"Oceanic whitetip shark, 2.5 to 3m"
1123,2009-05-01,Provoked,TAIWAN,Off Green Island,Fishing,M,46,Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT,N,80 kg shark
1124,2009-05-01,Provoked,USA,Florida,Swimming,M,0,Right foot bitten,N,5' to 8' shark
1125,2009-05-01,Unprovoked,USA,Florida,Surfing,M,31,Lacerations to left leg & foot,N,blacktip or spinner shark
1126,2009-05-01,Unprovoked,USA,Florida,Surfing,M,49,Lacerations to right foot,N,blacktip or spinner shark
1127,2009-05-01,Unprovoked,USA,Florida,Surfing,M,55,Lacerations to right hand,N,blacktip or spinner shark
1128,2009-05-01,Provoked,GUAM,North Region,Spearfishing,M,27,Speared shark bit his forearm PROVOKED INCIDENT,N,"Blacktip shark, 4'"
1129,2009-05-01,Provoked,BAHAMAS,Exuma Islands,Spearfishing,M,48,Lacerations to right forearm after he poked the shark with his spear PROVOKED INCIDENT ,N,7' shark
1130,2009-04-01,Unprovoked,USA,Florida,Unidentified,F,0,Multiple lacerations to right foot & ankle,N,Unidentified
1131,2009-04-01,Unprovoked,USA,California,Surfing,M,0,No injury,N,Unidentified
1132,2009-04-01,Unprovoked,USA,Florida,Surfing,M,20,3 puncture wounds to posterior right ankle,N,Unidentified
1133,2009-04-01,Unprovoked,PHILIPPINES,Batangas province,Swimming,M,23,Legs bitten,N,Unidentified
1134,2009-04-01,Unprovoked,USA,Florida,Surfing,M,52,Left foot bitten,N,Unidentified
1135,2009-04-01,Unprovoked,USA,Florida,Surfing,M,31,Laceration to forearm,N,2' to 3' shark
1136,2009-04-01,Invalid,USA,Hawaii,Spearfishing,M,49,Missing,Unidentified,Shark involvement not confirmed
1137,2009-04-01,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,M,40,"No injury, catapulted into the water & ski damage",N,2' to 3' shark
1138,2009-04-01,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,24,Body not recovered,Unidentified,Shark involvement not confirmed
1139,2009-04-01,Unprovoked,USA,California,Spearfishing,M,0,Shark struck him but the diver was not injured,N,"White shark, 12' to 15' female"
1140,2009-04-01,Unprovoked,USA,Florida,Wading,M,15,Lacerations to right foot and ankle,N,Unidentified
1141,2009-03-01,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing ,M,59,Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT,N,Raggedtooth shark
1142,2009-03-01,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,16,FATAL,Y,Unidentified
1143,2009-03-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,17,"Laceration to right foot, puncture wounds to calf",N,Bronze whaler shark?
1144,2009-03-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,0,"No injury, shark damaged surfboard",N,Unidentified
1145,2009-03-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,F,0,"No injury, shark bit nose of surfboard",N,Unidentified
1146,2009-03-01,Unprovoked,USA,Florida,Surfing,F,17,Minor bite to ankle,N,3' to 4' shark
1147,2009-03-01,Unprovoked,MALAYSIA,Strait of Malacca,Feeding fish,F,0,Minor injury,N,Blacktip reef shark pup
1148,2009-03-01,Unprovoked,USA,Hawaii,Swimming,M,61,"Minor injury, bite chest and left calf",N,Thought to involve a cookie cutter shark
1149,2009-03-01,Provoked,AUSTRALIA,Western Australia,Wading,M,21,Thigh bitten when he trod on the shark PROVOKED INCIDENT,N,"Wobbegong shark, 60cm"
1150,2009-03-01,Unprovoked,NEW CALEDONIA,South Province,Surfing,M,19,FATAL,Y,Unidentified
1151,2009-03-01,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,40,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,N,"Blue shark, 1m"
1152,2009-03-01,Boatomg,NEW ZEALAND,North Island,Fishing,M,0,"No injury to occupants, shark bit propeller",N,Unidentified
1153,2009-03-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,15,Lacerations to leg,N,2.6 m shark
1154,2009-02-01,Unprovoked,AUSTRALIA,Queensland,Fishing,M,0,Severe laceration to finger,N,Unidentified
1155,2009-02-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,0,"No injury to surfer, but the nose of his board was broken",N,Unidentified
1156,2009-02-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,33,Severe injury to hand ,N,"White shark, 2.5m "
1157,2009-02-01,Unprovoked,AUSTRALIA,New South Wales,"Diving, but on the surface when bitten by the shark",M,31,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N,"Bull shark, 2.7 m "
1158,2009-02-01,Sea Disaster,USA,Puerto Rico,Air Disaster,M,0,It is probable that all 5 passengers died on impact. The body of one was scavenged by a shark,Y,Unidentified
1159,2009-02-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,41,"No injury, surfboard dented",N,"White shark, 12' "
1160,2009-02-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,0,"No injury, flung from surfboard by the shark",N,Unidentified
1161,2009-01-01,Provoked,AZORES,Unidentified,Fishing,M,49,Left forearm bitten PROVOKED INCIDENT,N,Unidentified
1162,2009-01-01,Invalid,BRAZIL,Unidentified,Unidentified,M,17,Probable drowning with post-mortem bites,Unidentified,Shark involvement prior to death was not confirmed
1163,2009-01-01,Unprovoked,CUBA,Guantanamo Province,Spearfishing,M,15,Severe lacerations to lower left leg,N,Bull shark
1164,2009-01-01,Boat,NEW ZEALAND,North Island,Fishing,Unidentified,0,"No injury to occupant, shark removed small auxiliary outboard motor",N,Unidentified
1165,2009-01-01,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,19,Hand injured,N,Unidentified
1166,2009-01-01,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,25,FATAL,Y,Tiger shark
1167,2009-01-01,Invalid,BRAZIL,Maranh�o,Swimming,M,17,"Drowned, body scavenged by shark",Unidentified,Invalid
1168,2009-01-01,Boat,AUSTRALIA,Victoria,Fishing,M,0,"No injury to occupants, shark bit propeller",N,"White shark, 5.5 m "
1169,2009-01-01,Unprovoked,NEW ZEALAND,South Island,Surfing,M,0,"No injury, bumped off board by the shark",N,Unidentified
1170,2009-01-01,Unprovoked,SOUTH AFRICA,Western Cape Province,Unidentified,Unidentified,0,FATAL,Y,White sharks
1171,2009-01-01,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,M,24,Puncture wounds to right calf,N,"Dusky shark, 2m"
1172,2009-01-01,Unprovoked,AUSTRALIA,Tasmania,Surfing,F,13,Severe lacerations to right leg,N,"White shark, 5m"
1173,2009-01-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,31,Left thigh severely bitten,N,"White shark, 3.5m"
1174,2009-01-01,Boat,NEW ZEALAND,North Island,Fishing,Unidentified,0,"No injury to occupants, shark hit boat & bit outboard motor",N,"Mako shark, 3m"
1175,2009-01-01,Unprovoked,ECUADOR,Galapagos Islands,Surfing,M,22,Right lower leg bitten & defense wounds to hand,N,Unidentified
1176,2009-01-01,Unprovoked,NEW ZEALAND,North Island,Swimming,M,49,Posterior thigh bitten,N,Broadnose sevengill shark
1177,2009-01-01,Unprovoked,CUBA,Guantanamo Province,Spearfishing,Unidentified,0,Lacerations to right calf,N,Bull shark
1178,2008-12-01,Invalid,AUSTRALIA,Western Australia,Crabbing,Unidentified,0,"Reports said a shark attacked the dinghy, but Vickery said it did not",Unidentified,No shark involvement
1179,2008-12-01,Boating,AUSTRALIA,Tasmania,Yacht race,Unidentified,0,No injury to occupants -  shark became entangled in aft rudder,N,2 m shark
1180,2008-12-01,Unprovoked,AUSTRALIA,New South Wales,Boogie Boarding,M,10,"No injury, shark tore his swim fin",N,Unidentified
1181,2008-12-01,Boating,AUSTRALIA,New South Wales,Kayaking,M,29,"No injury, shark struck kayak, catapulting him into the water",N,"White shark, 4m to 5m "
1182,2008-12-01,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,M,51,FATAL,Y,4 to 5m white shark
1183,2008-12-01,Boating,USA,California,Kayaking,M,0,"No injury, shark struck paddle",N,White shark
1184,2008-12-01,Unprovoked,NEW ZEALAND,North Island,Fishing,M,0,Lacerations to left calf and ankle,N,Bronze whaler shark?
1185,2008-12-01,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,15,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",N,"Raggedtooth shark, 2m"
1186,2008-12-01,Boating,AUSTRALIA,New South Wales,Fishing,Unidentified,0,Shark bit boats sea anchor,N,"White shark, 4.5 to 5 m "
1187,2008-12-01,Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,M,0,FATAL,Y,Zambesi shark?
1188,2008-11-01,Unprovoked,EGYPT,Red Sea,Scuba diving,F,0,Lacerations to fingers,N,Oceanic whitetip shark
1189,2008-11-01,Sea Disaster,PHILIPPINES,Batanes Provine,Sinking of the cargo ship Mark Jason,M,0,"Of the 20 crew, 4 were bitten by shark. None of their iinjuries were life-threatening",N,Unidentified
1190,2008-11-01,Unprovoked,ECUADOR,Galapagos Islands,Unidentified,F,0,Leg bitten,N,Unidentified
1191,2008-11-01,Boating,AUSTRALIA,South Australia,Fishing,M,0,"No injury to occupant, shark bit dinghy & motor",N,Bronze whaler shark
1192,2008-11-01,Sea Disaster,TAIWAN,Unidentified,Fishing boat swamped in storm,M,45,FATAL,Y,Unidentified
1193,2008-11-01,Unprovoked,PHILIPPINES,Luzon,Fishing,M,39,Torso & righ arm bitten FATAL,Y,Unidentified
1194,2008-10-01,Provoked,AUSTRALIA,New South Wales,Scuba diving,M,34,Small laceration to head from captive shark,N,"Grey nurse shark, 3m"
1195,2008-10-01,Unprovoked,NEW CALEDONIA,Unidentified,Spearfishing,M,24,Legs bitten,N,Lemon shark
1196,2008-10-01,Provoked,AUSTRALIA,Northern Territory,Fishing,M,50,Right leg injured by hook and hooked shark PROVOKED INCIDENT,N," reef shark, 1.8m"
1197,2008-10-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,15,"No injury, board damaged",N,Unidentified
1198,2008-10-01,Unprovoked,USA,Florida,Fishing,M,11,Lacerations,N,Unidentified
1199,2008-10-01,Unprovoked,CROATIA," Split-Dalmatia Count,",Spearfishing,M,43,Calf bitten,N,5 m white shark
1200,2008-09-01,Unprovoked,USA,Florida,Surfing,M,44,Small puncture wounds to the heel of left foot,N,Unidentified
1201,2008-09-01,Unprovoked,USA,Florida,Surfing,M,40,Right foot bitten,N,+3' shark
1202,2008-09-01,Provoked,AUSTRALIA,Northern Territory,Swimming,M,43,Right hand lacerated by netted shark PROVOKED INCIDENT,N,Bronze whaler shark
1203,2008-09-01,Unprovoked,USA,Florida,Swimming,M,32,Lacerations to foot,N,2' to 3' juvenile shark
1204,2008-09-01,Unprovoked,USA,Hawaii,Surfing,M,40,Bitten on right thigh & calf,N,Tiger shark
1205,2008-09-01,Unprovoked,USA,California,Surfing,M,0,"No injury to surfer, board bitten",N,"White shark, 14' to 16' "
1206,2008-09-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,51,Shark became tangled in his surfboard leash. The surfer was not injured,N,3 m shark
1207,2008-09-01,Unprovoked,USA,Florida,Surfing,M,43,Minor injury to foot,N,Unidentified
1208,2008-09-01,Unprovoked,USA,Florida,Surfing,M,15,Minor injury to foot,N,Unidentified
1209,2008-09-01,Unprovoked,USA,Florida,Surfing,M,52,Shark bumped right ankle,N,4' shark
1210,2008-09-01,Unprovoked,USA,Florida,Surfing,M,0,Right hand bitten,N,Unidentified
1211,2008-08-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,29,"No injury, bumped off board by the shark",N,Unidentified
1212,2008-08-01,Invalid,USA,Hawaii,Swimming,M,27,Death was probably due to drowning,Unidentified,Shark involvement not confirmed
1213,2008-08-01,Provoked,ENGLAND,North Devon,Fishing,M,52,Wrist bitten by hooked shark PROVOKED INCIDENT,N,Blue shark
1214,2008-08-01,Unprovoked,USA,Florida,Surfing,M,19,Superfical cut to left ankle,N,Unidentified
1215,2008-08-01,Unprovoked,USA,Florida,Surfing,M,26,Lacerations to lower left leg,N,6' shark
1216,2008-08-01,Unprovoked,USA,Florida,"Swimming, towing surfboard",M,20,Minor injury to left foot,N,Unidentified
1217,2008-08-01,Invalid,USA,North Carolina,Surfing,F,20,Calf bitten,Unidentified,Shark involvement not confirmed
1218,2008-08-01,Unprovoked,USA,Florida,Swimming,M,47,3 lacerations to forearm,N,Unidentified
1219,2008-08-01,Invalid,USA,South Carolina,Unidentified,M,7,Minor injuries,Unidentified,Shark involvement not confirmed
1220,2008-08-01,Unprovoked,USA,US Virgin Islands,Treading water,F,38,Severe lacerations to left foot,N,8' bull shark or Caribbean reef shark
1221,2008-08-01,Unprovoked,USA,Florida,Wading,F,13,Puncture wounds & 3-inch laceration to right calf,N,Unidentified
1222,2008-08-01,Unprovoked,USA,Hawaii,Diving,M,0,"No injury, shark grabbed his bag of fish",N,"Tiger shark, 12'"
1223,2008-07-01,Unprovoked,AUSTRALIA,Victoria,Surfing,M,31,"No injury, surfboard leash severed",N,8' white shark or 7-gill shark
1224,2008-07-01,Unprovoked,SOUTH AFRICA,Unidentified,Unidentified,M,0,Lacerations to fingers,N,White shark
1225,2008-07-01,Unprovoked,PANAMA,San Carlos,Swimming or surfing,M,0,5 lacerations to left foot,N,3'  shark
1226,2008-07-01,Unprovoked,MEXICO,Cabo San Lucas,Swimming,M,33,3 puncture wounds to toe,N,2'  shark
1227,2008-07-01,Unprovoked,USA,Hawaii,Swimming,M,0,Minor injury,N,2' to 3' reef shark
1228,2008-07-01,Unprovoked,USA,Florida,Surfing,M,17,Right foot bitten,N,Unidentified
1229,2008-07-01,Unprovoked,USA,Hawaii,Snorkeling,F,44,Forearm bitten ,N,Unidentified
1230,2008-07-01,Unprovoked,USA,North Carolina,Wading,M,9,Minor lacerations to  toe,N,3' shark
1231,2008-07-01,Unprovoked,USA,North Carolina,Wading,F,8,Lacerations to dorsum of right foot ,N,3' to 4' shark
1232,2008-07-01,Provoked,USA,Florida,Surfing,M,15,Foot bitten after he stepped on the shark PROVOKED INCIDENT,N,Unidentified
1233,2008-07-01,Unprovoked,USA,Florida,Wading,M,16,Lacerations to lower left leg,N,4' shark
1234,2008-07-01,Unprovoked,EGYPT,Unidentified,Diving,M,0,Leg severed,N,Oceanic whitetip shark
1235,2008-07-01,Invalid,USA,North Carolina,Body surfing,M,52,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",Unidentified,Shark involvement not confirmed
1236,2008-07-01,Unprovoked,USA,South Carolina,Surfing,M,24,Laceration to foream,N,Unidentified
1237,2008-07-01,Unprovoked,USA,North Carolina,Swimming,F,14,Lacerations to  right foot,N,Unidentified
1238,2008-07-01,Unprovoked,USA,South Carolina,Unidentified,F,17,Lacerations to right foot,N,Unidentified
1239,2008-07-01,Boating,UNITED KINGDOM,Sussex,Rowing an inflatable dinghy,M,16,Shark leapt into & damaged the dinghy but no injury to occupants,N,"Starry smoothhound shark, 1m"
1240,2008-06-01,Invalid,USA,Hawaii,Wading,M,53,Probable drowning with post-mortem bites,Unidentified,Shark involvement prior to death not confirmed
1241,2008-06-01,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,42,Lacerations to calf,N,"Bull shark, 6' to 7'"
1242,2008-06-01,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,46,"No injury, ski bitten",N,"White shark, 2m"
1243,2008-06-01,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing (free diving),M,0,No injury,N,"White shark, 4.5m"
1244,2008-06-01,Unprovoked,USA,Florida,Surfing,M,29,Minor laceration to foot,N,Unidentified
1245,2008-06-01,Unprovoked,USA,South Carolina,Swimming,M,37,Lacerations to hand,N,4.5 to 5' shark
1246,2008-06-01,Unprovoked,BRAZIL,Bahia,Surfing,M,0,"No injury, board bitten",N,Unidentified
1247,2008-06-01,Boating,USA,California,Kayaking,F,40," No injury. Shark bumped kayak, flinging her into the  water. ",N,"White shark, 15'"
1248,2008-06-01,Unprovoked,USA,Florida,Wading,F,35,Lacerations to lower right calf,N,Unidentified
1249,2008-06-01,Unprovoked,BRAZIL,Pernambuco,Surfing,M,14,Laceration to left leg & foot,N,Unidentified
1250,2008-06-01,Unprovoked,USA,Florida,Body surfing,M,40,Lacerations & abrasions to right hand,N,Unidentified
1251,2008-06-01,Boating,SCOTLAND,Easter Ross,Fishing,Unidentified,0,No injury to occupants; shark struck their boat,N,Basking shark
1252,2008-06-01,Unprovoked,USA,South Carolina,Body surfing,F,15,Foot bitten,N,5' shark
1253,2008-06-01,Unprovoked,BRAZIL,Pernambuco,Swimming,M,14,"Hand severed, buttocks bitten",N,Bull shark
1254,2008-05-01,Unprovoked,USA,North Carolina,Surfing,M,9,Biceps & lower arm bitten,N,Unidentified
1255,2008-05-01,Sea Disaster,BAHAMAS,Grand Bahama Island,Sea Disaster,M,0,Boat capsized in squall. 2 bodies scavenged  by sharks,N,Tiger sharks in area
1256,2008-05-01,Unprovoked,MEXICO,Guerro,Surfing,M,49,Lacerations to right forearm and hand,N,3 m shark
1257,2008-05-01,Unprovoked,MEXICO,Guerro,Surfing,M,21,FATAL,Y,2 m shark
1258,2008-05-01,Unprovoked,FIJI,Yasawa Islands,Night diving,M,28,FATAL,Y,Unidentified
1259,2008-05-01,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,37,Severe lacerations to left leg,N,"White shark, 4m"
1260,2008-05-01,Unprovoked,NEW CALEDONIA,North Province,Fishing,M,40,Lower legs bitten,N,2 small bull sharks
1261,2008-05-01,Unprovoked,USA,Florida,Wading,M,6,2 inch laceration to left lower calf.,N,Unidentified
1262,2008-05-01,Provoked,SOUTH AFRICA,Unidentified,Fishing,M,24,Leg bitten by shark taken aboard Japanese trawler PROVOKED INCIDENT,N,Unidentified
1263,2008-04-01,Unprovoked,MEXICO,Guerro,Surfing,M,24,FATAL    Severe bite to right thigh,Y,Tiger shark
1264,2008-04-01,Unprovoked,USA,Florida,Surfing,M,18,3-inch laceration to dorsal surface of left foot,N,4' shark
1265,2008-04-01,Unprovoked,USA,Florida,Surfing,M,24,Calf bitten,N,Unidentified
1266,2008-04-01,Unprovoked,NEW CALEDONIA,North Province,Swimming,M,32,Lacerations to left foot,N,"Bull shark, 1.8m"
1267,2008-04-01,Provoked,USA,Florida,Surfing,M,21,Puncture wounds to right foot                  PROVOKED INCIDENT,N,Unidentified
1268,2008-04-01,Unprovoked,USA,California,Swimming,M,66,FATAL,Y,"White shark, 12' to 15'"
1269,2008-04-01,Unprovoked,USA,Florida,Surfing,M,14,Cuts & punctures to right foot,N,Unidentified
1270,2008-04-01,Unprovoked,AUSTRALIA,New South Wales,Unidentified,M,0,Unidentified,Unidentified,"Tiger shark, 2.3m "
1271,2008-04-01,Invalid,SOUTH AFRICA,KwaZulu-Natal,Free-diving,M,0,"As he pushd the shark away from his camera, his finger was cut on a tooth",Unidentified,"Tiger shark, 13' female"
1272,2008-04-01,Invalid,MEXICO,Quintana Roo,Swimming,M,32,Probable drowning with post-mortem bites,Unidentified,"Reported by media as shark attack, but shark involvement prior to death was not confirmed"
1273,2008-04-01,Invalid,AUSTRALIA,Queensland,Surfing,M,19,2 puncture wounds to leg,Unidentified,Shark involvement not confirmed; thought to be a barracuda bite
1274,2008-04-01,Unprovoked,USA,Florida,Surfing,M,30,Puncture wounds to right foot,N,1.5' to 2' shark
1275,2008-04-01,Unprovoked,FIJI,Unidentified,Spearfishing,M,0,Left forearm bitten ,N,Unidentified
1276,2008-03-01,Unprovoked,USA,Florida,Wading,M,15,Shin bitten,N,6' shark
1277,2008-04-01,Unprovoked,USA,Florida,Surfing,Unidentified,0,Foot bitten,N,Unidentified
1278,2008-04-01,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,16,FATAL,Y,Bull shark
1279,2008-04-01,Unprovoked,USA,Florida,Walking out of the water after surfing,M,18,Right foot & ankle bitten,N,Unidentified
1280,2008-03-01,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Fishing from surfski,M,39,Right leg bitten,N,Unidentified
1281,2008-03-01,Unprovoked,USA,Florida,Surfing,M,52,Foot bitten,N,4' to 5' shark
