original order,Date,Type,Country,Area,Location,Activity,Age,Fatal (Y/N)
5768,5-Jul-2014,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,,N
5767,5-Jul-2014,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,,N
5766,3-Jul-2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,19,N
5765,27-Jun-2014,Boat,ST. MARTIN,,20 miles from shore,Transatlantic Rowing,48,N
5764,25-Jun-2014,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,42,N
5763,18-Jun-2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,,N
5762,18-Jun-2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,15,N
5761,17-Jun-2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,,N
5760,09-Jun-2014,Unprovoked,BRAZIL,,500 km off the coast of Pernambuco,Fishing,43,N
5759,09-Jun-2014,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,16,N
5758,09-Jun-2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,39,N
5757,08-Jun-2014,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,43,N
5756,07-Jun-2014,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,14,N
5755,01-Jun-2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,22,N
5754,01-Jun-2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,,N
5753,01-Jun-2014,Unprovoked,USA,Palmyra Atoll,,Tagging sharks,37,N
5752,24-May-2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,29,N
5751,23-May-2014,Unprovoked,FRANCE,Wallis and Futuna,Wallis Island,Scuba diving,,N
5750,22-May-2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,10,N
5749,15-May-2014,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,38,N
5748,14-May-2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,35,N
5747,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,44,N
5746,11-May-2014,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,12,N
5745,10-May-2014,Invalid,USA,Florida,"Bethel Shoals, Indian River County",Diving,,
5744,06-May-2014,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,40,N
5743,04-May-2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Simonstown,Diving,,N
5742,01-May-2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,23,N
5741,24-Apr-2014,Unprovoked,AUSTRALIA,Western Australia,"South Passage, south of Coral Bay",Spearfishing,,N
5740,22-Apr-2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,42,N
5739,15-Apr-2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,25,N
5738,12-Apr-2014,Boat,SOUTH AFRICA,,,Shark watching,,N
5737,12-Apr-2014,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,,N
5736,04-Apr-2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,teen,N
5735,04-Apr-2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,teen,N
5734,03-Apr-2014,Unprovoked,AUSTRALIA,New South Wales,Tathra,Swimming,63,Y
5733,29-Mar-2014,Invalid,AUSTRALIA,Western Australia,Off Dawesville Cut,Diving for lobsters,38,
5732,22-Mar-2014,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,66,Y
5731,22-Mar-2014,Unprovoked,USA,Florida,Delray Beach,Kite Surfing,,N
5730,21-Mar-2014,Unprovoked,USA,Florida,Macarthur State Park,Surfing,9,N
5729,18-Mar-2014,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,,Kite Surfing,42,N
5728,18-Mar-2014,Unprovoked,AUSTRALIA,Victoria,Winkipop Beach,Surfing,42,N
5727,18-Mar-2014,Invalid,AUSTRALIA,New South Wales,Lennox Head,,10,
5726,12-Mar-2014,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Swimming,,N
5725,13-Mar-2014,Invalid,CAYMAN ISLANDS,,,Scuba diving / culling lionfish,,
5724,02-Mar-2014,Unprovoked,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,21,N
5723,20-Feb-2014,Unprovoked,FRENCH POLYNESIA,Society Islands,Huahine,Kitesurfing,21,N
5722,17-Feb-2014,Boating,PAPUA NEW GUINEA,,,Sailing,21,N
5721,08-Feb-2014,Unprovoked,AUSTRALIA,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,28,Y
5720,07-Feb-2014,Provoked,TRINIDAD & TOBAGO,Trinidad,,Fishing,,N
5719,07-Feb-2014,Unprovoked,NEW ZEALAND,South Island,Porpoise Bay,Surfing,28,N
5718,26-Jan-2014,Provoked,AUSTRALIA,New South Wales,Umina Beach,Fishing,,N
5717,25-Jan-2014,Unprovoked,NEW ZEALAND,South Island,Garden Bay near Cosy Nook,Spearfishing,24,N
5716,04-Jan-2014,Sea Disaster,JAPAN,Okinawa Prefecture,Off Miyako Island,Sea disaster,31,N
5715,2014,Unprovoked,USA,Hawaii,,Free diving / Photographing pilot whales,,N
5714,2014,Boating,NEW ZEALAND,,Stewart Island,Filming a documentary,,N
5713,25-Dec-2013,Unprovoked,NEW CALEDONIA,North Province,"Lindéralique, Hienghène",Snorkeling,37,N
5712,16-Dec-2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Die Platt,Surfing,19,N
5711,13-Dec-2013,Unprovoked,KIRIBATI,740 miles SE of Tarawa Atoll,,Attempting to remove fishing net from submerged object,35,N
5710,11-Dec-2013,Unprovoked,USA,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,29,N
5709,10-Dec-2013,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,30,N
5708,05-Dec-2013,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,26,N
5707,02-Dec-2013,Unprovoked,USA,Hawaii,"Between  Makena & Molokini, Maui",Kayaking / Fishing,57,Y
5706,30-Nov-2013,Unprovoked,AUSTRALIA,New South Wales,"Riecks Point,  Campbells Beach, ",Body boarding,19,Y
5705,2013,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,58,N
5704,23-Nov-2013,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,35,Y
5703,22-Nov-2013,Unprovoked,USA,Oregon,"Gleneden Beach, Lincoln County",Surfing,25,N
5702,12-Nov-2013,Unprovoked,AUSTRALIA,Western Australia,"Trigg Beach, Perth",Surfing,,N
5701,10-Nov-2013,Provoked,BAHAMAS,,Off Cape Eleuthera,Shark fishing,77,N
5700,07-Nov-2013,Unprovoked,USA,New Jersey,"Bay Head, Ocean County",Body boarding,16,N
5699,07-Nov-2013,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,,N
5698,31-Oct-2013,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Kiteboarding,46,N
5697,28-Oct-2013,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,Snorkeling,60,N
5696,26-Oct-2013,Unprovoked,REUNION,dÉtang-Salé,Ravine Mula,Body boarding,24,N
5695,26-Oct-2013,Unprovoked,AUSTRALIA,Western Australia,"Little Island, near Hillarys",Diving for crayfish,,N
5694,24-Oct-2013,Unprovoked,AUSTRALIA,New South Wales,South Narrabeen Beach,Surfing,41,N
5693,23-Oct-2013,Unprovoked,USA,Hawaii,"Waiehu, Maui",Diving ,45,N
5692,20-Oct-2013,Unprovoked,USA,Hawaii,"Pila'a Beach, Kaua'i",Surfing,25,N
5691,19-Oct-2013,Unprovoked,USA,Florida,Miami Beach,Wading,6,N
5690,11-Oct-2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,74,Y
5689,08-Oct-2013,Unprovoked,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,55,N
5688,06-Oct-2013,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,45,N
5687,10-Oct-2013,Unprovoked,USA,Florida,"Destin, Okaloosa County",Wading,12,N
5686,29-Sep-2013,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,50,N
5685,29-Sep-2013,Unprovoked,ISRAEL,Southern District,Ashdod,Diving,27,N
5684,25-Sep-2013,Unprovoked,USA,Florida,"Panama City, Bay County",Standing,7,N
5683,21-Sep-2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,45,N
5682,21-Sep-2013,Unprovoked,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,,N
5681,14-Sep-2013,Unprovoked,USA,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,21,N
5680,12-Sep-2013,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,13,N
5679,08-Sep-2013,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",,,UNKNOWN
5678,07-Sep-2013,Provoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,43,N
5677,07-Sep-2013,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Standing,25,N
5676,02-Sep-2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,17,N
5675,01-Sep-2013,Provoked,USA,Florida,Key West Aquarium,,3,N
5674,01-Sep-2013,Unprovoked,BAHAMAS,,,,,N
5673,01-Sep-2013,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Casting a net,9,N
5672,31-Aug-2013,Unprovoked,BAHAMAS,,Freetown Beach,Spearfishing,,N
5671,31-Aug-2013,Unprovoked,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,,N
5670,29-Aug-2013,Invalid,USA,California,Catalina Channel,Marathon swimming,47,
5669,26-Aug-2013,Provoked,FRANCE,Bay of Biscay,,Longline fishing for sharks,50,N
5668,25-Aug-2013,Unprovoked,USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,11,N
5667,25-Aug-2013,Unprovoked,AUSTRALIA,New South Wales,Smiths,Wrangling a shark,,N
5666,18-Aug-2013,Unprovoked,USA,Hawaii,Pohoiki ,Surfing,16,N
5665,17-Aug-2013,Unprovoked,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,,N
5664,14-Aug-2013,Unprovoked,USA,Hawaii,"Makenat, Maui",Snorkeling,20,Y
5663,13-Aug-2013,Unprovoked,USA,Hawaii,"Ka'a Point, Maui",Kiteboarding,19,N
5662,11-Aug-2013,Unprovoked,USA,South Carolina,Folly Beach,Surfing,10,N
5661,08-Aug-2013,Unprovoked,SOUTH AFRICA,,,Attempting to free the shark,,N
5660,05-Aug-2013,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Fishing,17,N
5659,31-Jul-2013,Unprovoked,USA,Hawaii,"Ulua Beach, Maui",Snorkeling,56,N
5658,30-Jul-2013,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,32,N
5657,28-Jul-2013,Unprovoked,BAHAMAS,Abaco Islands,Scotland Cay,Spearfishing,40,N
5656,29-Jul-2013,Unprovoked,MEXICO,Quintana Roo,,Wading,,N
5655,29-Jul-2013,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Surfing,18,N
5654,28-Jul-2013,Unprovoked,BAHAMAS,Exuma Islands,Compass Cay,Cleaning fish,64,N
5653,28-Jul-2013,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Diving,50,N
5652,22-Jul-2013,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,18,Y
5651,19-Jul-2013,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Walking in surf,50,N
5650,17-Jul-2013,Unprovoked,USA,Florida,"Butler Beach, St Augustine,       St. Johns County",Swimming ,teen,N
5649,15-Jul-2013,Unprovoked,REUNION,Saint-Paul,Le cimetière marin,Swimming & snorkeling,15,Y
5648,14-Jul-2013,Unprovoked,DIEGO GARCIA,,,Swimming,33,Y
5647,11-Jul-2013,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Wading,63,N
5646,07-Jul-2013,Invalid,SPAIN,Catalonia,"Sant Marti dEmpuries Beach, LEscala",Swimming,48,
5645,02-Jul-2013,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Body surfing,29,N
5644,30-Jun-2013,Unprovoked,TAIWAN,Taitung ,,Fishing,,N
5643,27-Jun-2013,Invalid,JAMAICA,Kingston Parish,Port Royal,,20,
5642,25-Jun-2013,Boating,USA,California,"Pacific State , San Mateo County",Kayaking / Fishing,,N
5641,25-Jun-2013,Unprovoked,USA,Florida,"Jacksonville, Duval County",Swimming,,N
5640,25-Jun-2013,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,14,N
5639,18-Jun-2013,Unprovoked,USA,Hawaii,Kona Coast State Park,Swimming,28,N
5638,17-Jun-2013,Unprovoked,USA,Texas,"Surfside Beach, Brazoria County",Swimming,15,N
5637,16-Jun-2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,,N
5636,15-Jun-2013,Unprovoked,USA,Florida,"Atlantic Beach, Duval County",Surfing,,N
5635,14-Jun-2013,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,10,N
5634,06-Jun-2013,Provoked,USA,Florida,"Off Snipe Point, Florida Keys, Monroe County",Fishing for sharks,58,N
5633,06-Jun-2013,Unprovoked,AUSTRALIA,New South Wales,Target Beach,Surfing,,N
5632,27-May-2013,Unprovoked,USA,Hawaii,"Halewia, Oahu",Diving,32,N
5631,27-May-2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,11,N
5630,23-May-2013,Unprovoked,BRAZIL,Pernambuco,Coral Cove Beach,,41,Y
5629,23-May-2013,Provoked,PALESTINIAN TERRITORIES,,Gaza,Fishing,30,N
5628,14-May-2014,Unprovoked,ECUADOR,Santa Cruz Island,"Playa Brava, Turtle Bay",Surfing,29,N
5627,08-May-2013,Invalid,USA,California,"Tourmaline Surf Park, San Diego County",Surfing,42,
5626,08-May-2013,Unprovoked,REUNION,Saint-Gilles,Brisant Beach,Body boarding,36,Y
5625,04-May-2013,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,16,N
5624,28-Apr-2013,Provoked,AUSTRALIA,New South Wales,Emerald Beach,Fishing,,N
5623,24-Apr-2013,Unprovoked,MEXICO,Quintana Roo,"Seagull Beach, Cancun",Swimming,34,N
5622,21-Apr-2013,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Fishing,51,N
5621,17-Apr-2013,Unprovoked,USA,Florida,"Near Boynton Beach, Palm Beach County",Playing in the surf,9,N
5620,14-Apr-2013,Unprovoked,SOUTH AFRICA,Western Cape Province,False Bay,Free diving,,N
5619,13-Apr-2013,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,21,N
5618,13-Apr-2013,Unprovoked,GUAM,,,,40,Y
5617,10-Apr-2013,Unprovoked,FRENCH POLYNESIA,Tuamotus,"North Pass, Fakarava",Kite boarding,53,N
5616,04-Apr-2013,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,50,N
5615,02-Apr-2013,Invalid,AUSTRALIA,Western Australia,Perth,,24,
5614,02-Apr-2013,Unprovoked,USA,Hawaii,Kaanapali Shores,Surfing,58,N
5613,31-Mar-2013,Invalid,AUSTRALIA,New South Wales,Terrigal Beach,Surfing,47,
5612,29-Mar-2013,Unprovoked,SEYCHELLES,,Ile Platte,Free diving,34,N
5611,21-Mar-2013,Unprovoked,BELIZE,,,Snorkeling,,N
5610,21-Mar-2013,Unprovoked,BAHAMAS,Eleuthera,Savannah Sound,Fly fishing,50,N
5609,16-Mar-2013,Provoked,SOUTH AFRICA,Western Cape Province,De Mond,Fishing - 'tag & release',30,N
5608,16-Mar-2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Hawston Beach,Surfing,,N
5607,12-Mar-2013,Unprovoked,JAMAICA,St. Catherine,Pillikin Red Light area ,Spearfishing,68,Y
5606,10-Mar-2013,Unprovoked,AUSTRALIA,Western Australia,African Reef off Geraldton,Spearfishing,28,N
5605,10-Mar-2013,Unprovoked,PHILIPPINES,Palawan,Off Likas Island,Swimming to shore with floatioon devices after boat engine conked out,28 & 26,N
5604,03-Mar-2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,39,N
5603,27-Feb-2013,Unprovoked,NEW ZEALAND,North Island,Muriwai,Swimming,46,Y
5602,21-Feb-2013,Unprovoked,USA,Hawaii,"Ka'anapali, Honokowai, Maui",Surfing,,N
5601,21-Feb-2013,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Surfing,,N
5600,10-Feb-2013,Unprovoked,USA,Florida,"""Stuart Rocks"", Martin County",Surfing,16,N
5599,09-Feb-2013,Unprovoked,FRENCH POLYNESIA,Society Islands,"Tapu, a dive site on the outer reefs of Bora Bora",Scuba diving,48,N
5598,01-Feb-2013,Unprovoked,JAMAICA,Kingston Parish,Pedro Cays,,18,N
5597,26-Jan-2013,Boat,AUSTRALIA,Victoria,Cape Nelson,Fishing,,N
5596,25-Jan-2013,Unprovoked,AUSTRALIA,Queensland,Noosa,Surfing,,N
5595,21-Jan-2013,Invalid,AUSTRALIA,Queensland,Bullcock Beach,Dragging stranded shark into deeper water,62,
5594,16-Jan-2013,Unprovoked,USA,Hawaii,Kiholo Bay,Surfing,43,N
5593,13-Jan-2013,Unprovoked,NEW ZEALAND,Mercury Islands,Great Mercury Island,Spearfishing,,N
5592,05-Jan-2013,Unprovoked,AUSTRALIA,Western Australia,Near Legendre Island,Spearfishing / Free diving,26,N
5591,31-Dec-2012,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,,N
5590,30-Dec-2012,Unprovoked,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,Surfing,23,N
5589,28-Dec-2012,Unprovoked,AUSTRALIA,New South Wales,"Kylie's Beach, Diamond Head",Paddle boarding,29,N
5588,25-Dec-2012,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,20,Y
5587,19-Dec-2012,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Surfing,32,N
5586,05-Dec-2012,Unprovoked,USA,Hawaii,Kauai,Surfing,60,N
5585,02-Dec-2012,Unprovoked,AUSTRALIA,New South Wales,Green Island,Spearfishing,31,N
5584,2012,Unprovoked,NEW ZEALAND,South Island,"Sunday Cove, Fiordland",Scuba diving,25,N
5583,30-Nov-2012,Unprovoked,USA,Hawaii,"Kihei, Maui",Snorkeling,61,N
5582,27-Nov-2012,Invalid,AUSTRALIA,Queensland,Mooloolaba,,20,
5581,22-Nov-2012,Unprovoked,MEXICO,Sinaloa,Nuevo Altata,Swimming,32,Y
5580,19-Nov-2012,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,14,N
5579,04-Nov-2012,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Diving,30,N
5578,04-Nov-2012,Unprovoked,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,43,N
5577,30-Oct-2012,Unprovoked,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,25,N
5576,27-Oct-2012,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Swimming,51,N
5575,23-Oct-2012,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,39,Y
5574,19-Oct-2012,Unprovoked,USA,Florida,"Seaport, Brevard County",,35,N
5573,18-Oct-2012,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,24,N
5572,18-Oct-2012,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Paddle boarding,55,N
5571,16-Oct-2012,Invalid,USA,Florida,Hobe Sound,,,
5570,11-Oct-2012,Unprovoked,NIGERIA,Delta,Oboro,Bathing,38,N
5569,10-Oct-2012,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",Windsurfing,42,N
5568,02-Oct-2012,Unprovoked,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Bodyboarding,11,N
5567,25-Sep-2012,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,21,N
5566,24-Sep-2012,Unprovoked,USA,Florida,"Spanish House Beach, Brevard County",Surfing,22,N
5565,16-Sep-2012,Unprovoked,USA,Florida," Cocoa Beach, Brevard  County",Surfing,52,N
5564,10-Sep-2012,Unprovoked,TONGA,Vava'u,Eueiki Island,Swimming,29,N
5563,09-Sep-2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,19,N
5562,08-Sep-2012,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Surfing,25,N
5561,08-Sep-2012,Unprovoked,USA,Florida,"South Beach, Miami-Dade County",Swimming,,N
5560,06-Sep-2012,Unprovoked,USA,Florida,"Neptune Beach, Duval County",Surfing,30s,N
5559,06-Sep-2012,Unprovoked,USA,Florida,"St. Augustine Beach, St. John's County",Surfing,37,N
5558,04-Sep-2012,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,32,N
5557,02-Sep-2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,8,N
5556,02-Sep-2012,Provoked,USA,Hawaii,"Spreckelsville, Maui",Spearfishing,,N
5555,02-Sep-2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,56,N
5554,31-Aug-2012,Provoked,SCOTLAND,Inner Hebrides,Off the Isle of Islay,Shark fishing,53,N
5553,28-Aug-2012,Unprovoked,AUSTRALIA,Western Australia,Red Bluff near Quobba Station,Surfing,34,N
5552,26-Aug-2012,Unprovoked,BRAZIL,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Swimming,18,Y
5551,15-Aug-2012,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Wading or swimming,31,N
5550,11-Aug-2012,Boating,AUSTRALIA,Western Australia,Ocean Reef,Fishing,,N
5549,08-Aug-2012,Unprovoked,USA,Florida,Key Largo,Free diving ,56,N
5548,06-Aug-2012,Unprovoked,REUNION,Saint Leu,,Surfing,39,N
5547,04-Aug-2012,Unprovoked,FRENCH POLYNESIA,Tuamotus,Kaukura Atoll,Spearfishing,,N
5546,31-Jul-2012,Unprovoked,USA,California,"Topanga Beach, Los Angeles County",Surfing,17,N
5545,31-Jul-2012,Unprovoked,AUSTRALIA,South Australia,Streaky Bay,Surfing,48,N
5544,30-Jul-2012,Unprovoked,USA,Hawaii,"Mahaulepu Beach, Kauai",Surfing,44,N
5543,30-Jul-2012,Unprovoked,USA,Massachusetts,"Ballston Beach, Truro, Cape Cod",Body surfing,50,N
5542,24-Jul-2012,Invalid,USA,North Carolina,"Ocean Isle, Brunswick County",,12,
5541,23-Jul-2012,Unprovoked,REUNION,Trois-Bassins,,Surfing,22,Y
5540,21-Jul-2012,Invalid,TRINIDAD & TOBAGO,Trinidad,"Off Radix Village, Mayoro County",Swimming,24,
5539,19-Jul-2012,Invalid,CANADA,British Colombia,"Tofino, Vancouver",Surfing,23,
5538,14-Jul-2012,Unprovoked,AUSTRALIA,Western Australia,Off Wedge Island,Surfing,24,Y
5537,08-Jul-2012,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Swimming,43,N
5536,07-July-2012,Unprovoked,BAHAMAS,Eleuthera,,Spearfishing,,N
5535,07-Jul-2012,Invalid,AUSTRALIA,Victoria,Ship's Graveyard off Point Lonsdale,Scuba diving,42,
5534,07-Jul-2012,Boating,USA,California,"Pleasure Point, Santa Cruz County",Kayaking,52,N
5533,06-Jul-2012,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,29,N
5532,28-Jun-2012,Invalid,CROATIA,,Buccari Bay,Swimming,60,
5531,26-Jun-2012,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Swimming,6,N
5530,26-Jun-2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,26,N
5529,26-Jun-2012,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Sitting in the water,16,N
5528,22-Jun-2012,Unprovoked,AUSTRALIA,Tasmania,South Cape Bay,Surfing,,N
5527,22-Jun-2012,Unprovoked,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,12,N
5526,20-Jun-2012,Unprovoked,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Surf skiing ,62,N
5525,19-Jun-2012,Invalid,USA,South Carolina,"Myrtle Beach, Horry County",Standing,16,
5524,18-Jun-2012,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Wading,6,N
5523,15-Jun-2012,Provoked,USA,Florida,"Summerland Key, Monroe County",Fishing,23,N
5522,14-Jun-2012,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,18,N
5521,14-Jun-2012,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,,N
5520,14-Jun-2012,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,,N
5519,14-Jun-2012,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,16,N
5518,12-Jun-2012,Unprovoked,AUSTRALIA,Victoria,Port Campbell,Surfing,42,N
5517,10-Jun-2012,Provoked,ITALY,Sardinia,Muravera,Attempting to rescue an injured & beached shark,57,2017
5516,03-Jun-2012,Unprovoked,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",Surf skiing ,30,N
5515,02-Jun-2012,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Surfing,12,N
5514,02-Jun-2012,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,25,N
5513,31-May-2012,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,33,N
5512,29-May-2012,Unprovoked,MEXICO,Guerrero," Boca de la Leña, La Unión",Free diving / spearfishing,46,N
5511,23-May-2012,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,22,N
5510,20-May-2012,Boating,USA,Hawaii,"Iroquiois Point, Oahu",Kayak Fishing,,N
5509,16-May-2012,Unprovoked,FIJI,,Matacucu Reef ,Spearfishing,20,N
5508,12-May-2012,Boating,USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayaking / Fishing,30,N
5507,09-May-2012,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,47,N
5506,06-May-2012,Unprovoked,USA,California,Off Catalina Island,Paddle boarding,15,N
5505,19-Apr-2012,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,28,N
5504,19-Apr-2012,Unprovoked,SOUTH AFRICA,Western Cape Province,Caves near Kogel Bay,Body boarding,20,Y
5503,11-Apr-2012,Boating,AUSTRALIA,South Australia,"Dolphin Bay, Innes National Park",Kayaking,27,N
5502,03-Apr-2012,Unprovoked,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,28,N
5501,Apr-2013,Unprovoked,USA,Florida,"Sanibel Island, Lee County",,,N
