Case Number,Date,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Investigator or Source,href formula,original order
2012.09.02.b,2012-09-02 00:00:00,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,Puncture wounds to calf and hand,N,"WYTV, 9/3/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.09.02.b-NSB-girl.pdf,5557.0
2012.09.02.b,2012-09-02 00:00:00,Provoked,Usa,Hawaii,"Spreckelsville, Maui",Spearfishing,No Data,Minor laceration to hand  PROVOKED INCIDENT,N,HawaiiNow.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.09.02.c-Malabon.pdf,5556.0
2012.09.02.a,2012-09-02 00:00:00,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,F,Puncture wound to left ankle,N,"WYTV, 9/3/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.09.02.a-NSB-Woman.pdf,5555.0
2012.08.31,2012-08-31 00:00:00,Provoked,Scotland,Inner Hebrides,Off the Isle of Islay,Shark fishing,M,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",N,"The Mirror, 8/31/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.08.31.R-Hamish.pdf,5554.0
2012.08.28,2012-08-28 00:00:00,Unprovoked,Australia,Western Australia,Red Bluff near Quobba Station,Surfing,M,Lacerations to torso and arm,N,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.08.28-Hines.pdf,5553.0
2012.08.26,2012-08-26 00:00:00,Unprovoked,Brazil,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Swimming,M,FATAL,Y,"JC Online, 8/30/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.08.26-Brazil.pdf,5552.0
2012.08.15,2012-08-15 00:00:00,Unprovoked,Usa,Alabama,"Gulf Shores, Baldwin County",Wading or swimming,M,Lacerations to leg,N,"Fox 10, 8/17/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.08.15-GulfShoresSwimmer.pdf,5551.0
2012.08.11,2012-08-11 00:00:00,Provoked,Australia,Western Australia,Ocean Reef,Fishing,No Data,"No injury, shark grabbed outboard motor",N,"Perth Now, 8/11/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.08.11-FishingBoat.pdf,5550.0
2012.08.09,2012-08-08 00:00:00,Unprovoked,Usa,Florida,Key Largo,Free diving ,M,Lacerations to little finger of left hand,N,D. Lowe,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.08.09-Lowe.pdf,5549.0
2012.08.05,2012-08-06 00:00:00,Unprovoked,Reunion,Saint Leu,No Data,Surfing,M,Right hand and foot severed,N,"Linfo.re, 8/5/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.08.05-Bujon.pdf,5548.0
2012.08.04,2012-08-04 00:00:00,Unprovoked,French polynesia,Tuamotus,Kaukura Atoll,Spearfishing,M,Shoulder bitten,N,"A. Brenneka, Shark Attack Survivors; Les Nouvelles calédoniennes, 9/6/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.08.04-FrenchPolynesia.pdf,5547.0
2012.07.31.b,2012-07-31 00:00:00,Unprovoked,Usa,California,"Topanga Beach, Los Angeles County",Surfing,M,"No injury, surfer knocked off board when shark struck surfboard",N,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.31.b-Tennison.pdf,5546.0
2012.07.31.a,2012-07-31 00:00:00,Unprovoked,Australia,South Australia,Streaky Bay,Surfing,M,Lacerations to torso & arm,N,"T. Conlin, Adelaide Now, 7/31/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.31.a-Campion.pdf,5545.0
2012.07.30.b,2012-07-30 00:00:00,Unprovoked,Usa,Hawaii,"Mahaulepu Beach, Kauai",Surfing,M,Left foot bitten,N,"T. LaVenture, The GardenIsland.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.30.b-Stotts.pdf,5544.0
2012.07.30.a,2012-07-30 00:00:00,Unprovoked,Usa,Massachusetts,"Ballston Beach, Truro, Cape Cod",Body surfing,M,Lacerations to both legs below the knees,N,"A. Costellano, ABC News, 7/31/202",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.30.a-Myers.pdf,5543.0
2012.07.24,2012-07-24 00:00:00,Provoked,Usa,North Carolina,"Ocean Isle, Brunswick County",No Data,M,Shark involvement unconfirmed,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.24-OceanIsle.pdf,5542.0
2012.07.23,2012-07-23 00:00:00,Unprovoked,Reunion,Trois-Bassins,No Data,Surfing,M,FATAL,Y,"Clicanoo.re, 7/23/20122",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.23-Rassica.pdf,5541.0
2012.07.21,2012-07-21 00:00:00,Provoked,Trinidad & tobago,Trinidad,"Off Radix Village, Mayoro County",Swimming,M,Probable drowning with post-mortem bite,N,"Trinidad Express, 8/3/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.21-Galera-drowning.pdf,5540.0
2012.07.19,2012-07-19 00:00:00,Provoked,Canada,British Colombia,"Tofino, Vancouver",Surfing,F,"Lacerations to 2 fingers, but shark involvement unconfirmed",N,"CBC News, 7/23/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.19-Dakers.pdf,5539.0
2012.07.14,2012-07-14 00:00:00,Unprovoked,Australia,Western Australia,Off Wedge Island,Surfing,M,FATAL,Y,"WA News, 7/15/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.14-Linden.pdf,5538.0
2012.07.08,2012-07-08 00:00:00,Unprovoked,Usa,North Carolina,"North Topsail Beach, Onslow County",Swimming,F,Lacerations to right ankle and calf,N,"A. Brenneka, SharkAttackSurvivors.com; T.Fasick",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.08-Fasick.pdf,5537.0
2012.07.07.c,2012-07-07 00:00:00,Unprovoked,Bahamas,Eleuthera,No Data,Spearfishing,M,Lacerations to right leg,N,S. Connelly,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.07.c-Connelly.pdf,5536.0
2012.07.07.b,2012-07-07 00:00:00,Provoked,Australia,Victoria,Ship's Graveyard off Point Lonsdale,Scuba diving,F,Cause of death was drowning & preceded shark involvement,N,"Aleks Devic, Herald Sun, 7/11/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.07.b-Lee.pdf,5535.0
2012.07.07.a,2012-07-07 00:00:00,Provoked,Usa,California,"Pleasure Point, Santa Cruz County",Kayaking,M,"No injury, kayak bitten",N,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.07.a-SantaCruz.pdf,5534.0
2012.07.06,2012-07-06 00:00:00,Unprovoked,South africa,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,M,Lacerattions to left thigh & knee,N,"NSRI, 7/6/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.06-Mostert.pdf,5533.0
2012.06.28.R,2012-06-28 00:00:00,Provoked,Croatia,No Data,Buccari Bay,Swimming,No Data,"Leg struck. Initally reported as a shark attack, but involved a swordfish",N,"Il Gazzettino, 6/28/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.28.R-Croatia.pdf,5532.0
2012.06.26.c,2012-06-26 00:00:00,Unprovoked,Usa,Florida,"Juno Beach, Palm Beach County",Swimming,M,Thigh bitten,N,"WPTV.com, 6/26/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.26.c-Bieber.pdf,5531.0
2012.06.26.b,2012-06-26 00:00:00,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Nip to left foot,N,"H. Frederick, Headline Surfer, 6/26/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.26.b-NewSmyrnaBeach.pdf,5530.0
2012.06.26.a,2012-06-26 00:00:00,Unprovoked,Usa,Hawaii,"Kahana Beach, Maui",Sitting in the water,F,Laceration to left calf,N,"Hawaii News Now, 6/26/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.26.a-StClair.pdf,5529.0
2012.06.22.b,2012-06-22 00:00:00,Unprovoked,Australia,Tasmania,South Cape Bay,Surfing,M,"Knocked off board, shark bit nose off surfboard",N,J. Barthy,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.22.b-Barthy.pdf,5528.0
2012.06.22.a,2012-06-22 00:00:00,Unprovoked,Usa,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,M,Minor injury,N,WPTV.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.22.a-McInerney.pdf,5527.0
2012.06.20,2012-06-20 00:00:00,Unprovoked,Australia,Western Australia,"Mullaloo Beach, Perth",Surf skiing ,M,"No injury, ski severely damaged",N,"Perth Now, 6/20/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.20-Kane.pdf,5526.0
2012.06.19,2012-06-19 00:00:00,Provoked,Usa,South Carolina,"Myrtle Beach, Horry County",Standing,M,"Laceration to foot. Injured by a stingray, not a shark",N,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.19-MyrtleBeach.pdf,5525.0
2012.06.18,2012-06-18 00:00:00,Unprovoked,Usa,North Carolina,"Ocean Isle, Brunswick County",Wading,F,Numerous puncture wounds to leg ,N,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.18-Daniel.pdf,5524.0
2012.06.15,2012-06-15 00:00:00,Provoked,Usa,Florida,"Summerland Key, Monroe County",Fishing,M,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,WSVN-TV,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.15-SummerlandKey.pdf,5523.0
2012.06.14.d,2012-06-14 00:00:00,Unprovoked,Usa,South Carolina,"Myrtle Beach, Horry County",Swimming,F,Foot & hand bitten,N,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.14.d-female-MyrtleBeach.pdf,5522.0
2012.06.14.c,2012-06-14 00:00:00,Unprovoked,Usa,South Carolina,"Myrtle Beach, Horry County",Swimming,M,Minor injury,N,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.14.c-MyrtleBeach.pdf,5521.0
2012.06.14.b,2012-06-14 00:00:00,Unprovoked,Usa,South Carolina,"Myrtle Beach, Horry County",Swimming,M,Calf bitten,N,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.14.b-male-MyrtleBeach.pdf,5520.0
2012.06.14.a,2012-06-14 00:00:00,Unprovoked,Usa,South Carolina,"Myrtle Beach, Horry County",Swimming,M,Laceration to right foot,N,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.14.a-Garosalo.pdf,5519.0
2012.06.12,2012-06-12 00:00:00,Unprovoked,Australia,Victoria,Port Campbell,Surfing,M,Laceration to right foot,N,"Herald Sun, 6/13/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.12-Higgins.pdf,5518.0
2012.06.10,2012-06-10 00:00:00,Provoked,Italy,Sardinia,Muravera,Attempting to rescue an injured & beached shark,M,Lower left leg injured PROVOKED ACCIDENT,N,"D. Puddo, 6/11/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.10-Zara.pdf,5517.0
2012.06.03,2012-06-03 00:00:00,Unprovoked,Australia,New South Wales,"Redhead Beach, Newcastle",Surf skiing ,M,"No injury, ski bitten",N,"Newcastle Herald, 6/6/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.03-Ayre.pdf,5516.0
2012.06.02.b,2012-06-02 00:00:00,Unprovoked,Usa,Florida,"Bethune Beach, Volusia County",Surfing,F,Laceration to thigh,N,"J. Horton, West Volusia Bulletin, 6/6/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.02.b-DelRosso.pdf,5515.0
2012.06.02.a,2012-06-02 00:00:00,Unprovoked,Usa,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,M,Severe laceration to foot,N,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.02.a-Maczynski.pdf,5514.0
2012.05.31,2012-05-31 00:00:00,Unprovoked,Usa,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,F,Foot bitten,N,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.31-Konkler.pdf,5513.0
2012.05.29,2012-05-29 00:00:00,Unprovoked,Mexico,Guerrero," Boca de la Leña, La Unión",Free diving / spearfishing,M,Left hand severed,N,"El Sol ee Morelia, 5/30/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.29-Navarrette.pdf,5512.0
2012.05.23,2012-05-23 00:00:00,Unprovoked,Usa,Florida,"Jacksonville, Duval County",Surfing,M,Lacerations to foot,N,"First Coast News, 5/24/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.23-Renfro.pdf,5511.0
2012.05.20,2012-05-20 00:00:00,Provoked,Usa,Hawaii,"Iroquiois Point, Oahu",Kayak Fishing,M,"No injury, teethmarks in kayak",N,"Hawaii Now, 5/25/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.20-Gallardo.pdf,5510.0
2012.05.16,2012-05-16 00:00:00,Unprovoked,Fiji,No Data,Matacucu Reef ,Spearfishing,M,Lacerations to head,N,"Fiji Times, 5/17/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.16-Naborisi.pdf,5509.0
2012.05.12,2012-05-12 00:00:00,Provoked,Usa,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayaking / Fishing,M,"No injury, kayaker fell in the water when kayak bitten by a shark",N,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.12-Nocchi.pdf,5508.0
2012.05.09,2012-05-09 00:00:00,Unprovoked,Usa,Florida,"Vero Beach, Indian River County",Swimming,F,Upper left thigh bitten,N,News Channel 5,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.09-Stei.pdf,5507.0
2012.05.06,2012-05-06 00:00:00,Unprovoked,Usa,California,Off Catalina Island,Paddle boarding,F,"No injury, shark bit paddleboard",N,"R. Collier, A. Brenneka",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.06-McKereghan.pdf,5506.0
2012.04.19.b,2012-04-19 00:00:00,Unprovoked,Usa,Florida,"Indialantic, Brevard County",Surfing,M,Lacerations to hand,N,"MyFoxOrlando, 4/19/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.19.b-Ellingham.pdf,5505.0
2012.04.19.a,2012-04-19 00:00:00,Unprovoked,South africa,Western Cape Province,Caves near Kogel Bay,Body boarding,M,FATAL,Y,"News 24, 4/19/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.19.a-Lilienfeld.pdf,5504.0
2012.04.11,2012-04-11 00:00:00,Provoked,Australia,South Australia,"Dolphin Bay, Innes National Park",Kayaking,M,Minor wound to his thigh when shark bit kayak,N,"Adelaide Now, 4/12/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.11-Demasi.pdf,5503.0
2012.04.03,2012-04-03 00:00:00,Unprovoked,Usa,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,Lacerations to left foot,N,"Hawaii News Now, 4/3/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.03-Holley.pdf,5502.0
2012.04.00,2013-04-01 00:00:00,Unprovoked,Usa,Florida,"Sanibel Island, Lee County",No Data,M,Right shin bitten,N,"Morning Sentinel, 4/20/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.00-Hapworth.pdf,5501.0
2012.03.31,2012-03-31 00:00:00,Unprovoked,Australia,Western Australia,Stratham Beach,Scuba diving,M,FATAL,Y,"Associated Press, 3/31/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.31-Kurmann.pdf,5500.0
2012.03.24,2012-03-24 00:00:00,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor lacerations to foot,N,"H. Frederick, NSB News, 3/24/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.24-Coppola.pdf,5499.0
2012.03.22,2012-03-22 00:00:00,Provoked,Australia,Western Australia,Kalbarri,Crayfishing,No Data,"No injury to occupants. Shark bit propelle, rope & crayfish float",N,"Sydney Morning Herald, 3/22/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.22-Kalbarri-fishermen.pdf,5498.0
2012.03.20,2012-03-20 00:00:00,Unprovoked,Australia,Queensland,Nobby's Beach,Surfing,M,Lacerations to left calf,N,"Courier Mail, 3/20/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.20-OLeary.pdf,5497.0
2012.03.15,2012-03-15 00:00:00,Unprovoked,Usa,Florida,"Jensen Beach, Martin County ",Surfing,M,Left forearm bitten,N,"WPBF.com, 3/16/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.15-Wacha.pdf,5496.0
2012.03.14.b,2012-03-14 00:00:00,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,F,Bitten on ankle,N,"C. Graham, Daytona Beach News-Journal, 3/14/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.14.b-Levy.pdf,5495.0
2012.03.14.a,2012-03-14 00:00:00,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten on calf,N,"C. Graham, Daytona Beach News-Journal, 3/14/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.14.a-Romano.pdf,5494.0
2012.03.06.b,2012-03-06 00:00:00,Unprovoked,New zealand,North Island,"Opunake, Taranake",Surfing,M,Lacerations to left calf,N,"NZ Herald, 3/7/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.06.b-Garrett.pdf,5493.0
2012.03.06.a,2012-03-06 00:00:00,Provoked,Australia,Victoria,"Shipwreck Cove, Melbourne Aquarium","Diving, feeding sharks",F,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,"The Age, 3/6/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.06.a-MelbourneAquarium.pdf,5492.0
2012.03.05,2012-03-05 00:00:00,Unprovoked,Reunion,Saint-Benoit,Port de la Marine,Body boarding,M,"No injury, board bitten",N,"Clicanoo, 3/5/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.05-Itema.pdf,5491.0
2012.03.04,2012-03-04 00:00:00,Unprovoked,Usa,Florida,"Playalinda Beach, Brevard County",Kite Surfing,M,Lacerations to left calf,N,Brevard Times,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.04-Worrall.pdf,5490.0
2012.03.03,2012-03-03 00:00:00,Provoked,Saudi arabia,Tabuk Province,Off Duba,Attempting to Kite surf from Egypt to Saudi Arabia,M,Harassed by sharks but not injured by them,N,"Polskie Radio, 3/5/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.03-Lisewski.pdf,5489.0
2012.03.01,2012-03-01 00:00:00,Provoked,Chile,Antofagasta Province,Antofagasta,Fishing (illegally),M,Hand injured PROVOKED INCIDENT,N,"Soychile.cl, 3/1/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.01-Salomon.pdf,5488.0
2012.02.26,2012-02-26 00:00:00,Provoked,Usa,Florida,"Palm Beach Inlet, Palm Beach County",Kite Surfing,M,Laceration to right foot when he struck a shark PROVOKED INCIDENT,N,"Aspen Daily News, 2/29/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.26-Lasser.pdf,5487.0
2012.02.25,2012-02-25 00:00:00,Unprovoked,Australia,New South Wales,Broughton Island,Fishing,M,Laceration to left foot,N,"B. Smee, Newcastle Herald, 2/27/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.25-BroughtonIslandFisherman.pdf,5486.0
2012.02.20,2012-02-20 00:00:00,Provoked,South africa,Western Cape Province,Strandfontein,Fishing,No Data,"No injury to occupants, boat damaged",N,"Cape Argus, 2/21/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.20-StrandfonteinBoat.pdf,5485.0
2012.02.06,2012-02-06 00:00:00,Unprovoked,Australia,Queensland,Wurtulla,Surfing,M,"No injury, but fin lost from surfboard",N,"Sunshine Coast Daily, 2/7/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.06-Ferguson.pdf,5484.0
2012.01.27,2012-01-27 00:00:00,Unprovoked,Usa,Hawaii,Lanai,Snorkeling,No Data,"No injury, shark bit swim fin",N,HawaiiNow.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.27-NV-Graden.pdf,5483.0
2012.01.19,2012-01-19 00:00:00,Unprovoked,Australia,Western Australia,Coral Bay,Snorkeling,M,Lacerations to right forearm,N,"Sydney Morning Herald, 1/20/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.19-Pickering.pdf,5482.0
2012.01.22.R,2012-01-22 00:00:00,Unprovoked,Bahamas,No Data,Cat Island,"Diving, photographing sharks",M,"No injury, shark grabbed his camera",N,"Evening Chronicle, 1/23/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.22.R-Bahamas.pdf,5481.0
2012.01.18.b,2012-01-18 00:00:00,Provoked,Taiwan,Taitung ,Taimali,Fishing,M,Bitten on left thigh     PROVOKED ACCIDENT,N,Taiwan television,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.18.b-Taiwan.pdf,5480.0
2012.01.18.a,2012-01-18 00:00:00,Unprovoked,Australia,New South Wales,Redhead Beach,Surfing,M,Lacerations to thigh,N,V. Peddemors,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.18.a-Folkard.pdf,5479.0
2012.01.15,2012-01-15 00:00:00,Unprovoked,South africa,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,FATAL,Y,"News 24, 1/15/2012; R. Bonorchis, Bloomberg News, 1/16/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.15-Msungubana.pdf,5478.0
2012.01.13,2012-01-13 00:00:00,Unprovoked,Usa,Oregon,"Lincoln City, Lincoln County",Surfing,M,"No injury, surfboard damaged",N,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.13-Harnack.pdf,5477.0
2012.01.03,2012-01-03 00:00:00,Unprovoked,Australia,New South Wales,North Avoca Beach,Surfing,M,Right forearm and wrist injured,N,"Daily Telegraph, 1/3/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.03-Wells.pdf,5476.0
2012.01.02,2012-01-02 00:00:00,Unprovoked,Australia,Queensland,Duranbah,Spearfishing,M,"No injury, punctures to swim fin",N,"A. Brenneka, goldcoast.com.au, 1/3/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.02-Hugo-Ricardo-Mendes-da-Silva.pdf,5475.0
2011.12.31,2011-12-31 00:00:00,Unprovoked,Usa,Florida,"Jupiter, Palm Beach County",No Data,M,Hand injured,N,"Palm Beach Post,  12/31/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.31-Jupiter.pdf,5474.0
2011.12.26.R,2011-12-26 00:00:00,Provoked,Antigua,St John's,Fort James Beach,Swimming,M,Bitten on right hand & wrist,N,"D. Francis, Caribarena, 12/26/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.26.R-Edwards.pdf,5473.0
2011.12.25,2011-12-25 00:00:00,Unprovoked,Ecuador,Santa Elena,Barandúa Beach,Surfing,M,Lacerations to left thigh and calf,N,"A. Brenneka, SharkAttackSurvivors.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.25-Trejos.pdf,5472.0
2011.12.23,2011-12-23 00:00:00,Unprovoked,Usa,Florida,New Smyrna Beach,Surfing,M,Laceration to ankle,N,"Daytona Beach News-Journal, 12/24/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.23-Futato.pdf,5471.0
2011.12.21.b,2011-12-21 00:00:00,Provoked,Usa,Hawaii,"Makahuena Point, Kauai",Canoeing,M,"No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT",N,"A. Brenneka, SharkAttackSurvivors.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.21.b-Miyake.pdf,5470.0
2011.12.21.a,2011-12-21 00:00:00,Provoked,South africa,Eastern Cape Province,"Noordhoek, Port Elizabeth",Kayak Fishing,M,No injury but kayak dented,N,"Port Elizabeth Herald, 12/22/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.21.a-Coetzee.pdf,5469.0
2011.12.11,2011-12-11 00:00:00,Unprovoked,Australia,New South Wales,Angourie,Surfing,M,5 puncture wounds to thigh,N,"Daily Examiner, 12/11/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.11-King.pdf,5468.0
2011.12.07.b,2011-12-07 00:00:00,Provoked,South africa,KwaZulu-Natal,Between Sodwana & Cape Vidal,Surf skiing ,M,"No injury, ski damaged",N,"Durban Daily News, 12/8/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.07.b-Kohler.pdf,5467.0
2011.12.07.a,2011-12-07 00:00:00,Unprovoked,Australia,New South Wales,Maroubra,Surfing,M,Minor injuries to left leg ,N,"The Australian, 12/12/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.07.a-Mason.pdf,5466.0
2011.12.06,2011-12-06 00:00:00,Unprovoked,Usa,Oregon,Seaside Cove,Surfing,F,Minor injury to calf ,N,"Seaside Signal, 12/6/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.06-Seaside-Oregon.pdf,5465.0
2011.12.05,2011-12-05 00:00:00,Provoked,Australia,Queensland,Bushy Ilet,Spearfishing,No Data,Killed by a shark or crocodile.,N,"H. Beck, Cairns.com, 12/7/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.05-Forsden.pdf,5464.0
2011.12.02,2011-12-02 00:00:00,Unprovoked,Australia,New South Wales,Broken Head,Surfing,M,Torn shoulder ligament as result of collision with shark,N,"Northern Star, 12/3/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.02-Carter.pdf,5463.0
2011.11.29,2011-11-29 00:00:00,Unprovoked,Indonesia,Bali,Tabanan,Surfing,M,Lacerations to right hand,N,"Daily Telegraph, 11/30/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.29-Andrews.pdf,5462.0
2011.11.28,2011-11-28 00:00:00,Unprovoked,Australia,Queensland,Peregian,Swimming,M,Puncture marks to foot,N,"Sunshire Coast Daily, 12/1/2011 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.28-Kriz-not-on-spreadsheet.pdf,5461.0
2011.11.22,2011-11-22 00:00:00,Provoked,Usa,California,Pigeon Point,Kayaking,M,"No injury, kayak bitten",N,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.22-Harry-Pali.pdf,5460.0
2011.11.20.R,2011-11-20 00:00:00,Unprovoked,Papua new guinea,East New Britain,Pigeon Island,Scuba diving,M,"No injury, shark collided with diver",N,"you Tube, Shark Attack at 57 metres",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.20.R-PigeonIsland.pdf,5459.0
2011.11.12,2011-11-12 00:00:00,Unprovoked,Brazil,Pernambuco,"Punta Del Chifre Beach, Olinda",Surfing,M,Legs bitten,N,"H. Nickel & A. Brenneka, SharkAttackSurvivors.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.12-Periera-Pernambuco.pdf,5458.0
